playerid,namefirst,namelast
allenni01,Nick,Allen
allenpe01,Pete,Allen
allenro01,Ron,Allen
allenro02,Rod,Allen
allensl01,Sled,Allen
alleyge01,Gene,Alley
alliebo01,Bob,Allietta
alliega01,Gair,Allie
allisan01,Andy,Allison
allisar01,Art,Allison
allisbi01,Bill,Allison
allisbo01,Bob,Allison
allisda01,Dana,Allison
allisdo01,Doug,Allison
allisma01,Mack,Allison
allismi01,Milo,Allison
allrebe01,Beau,Allred
almadme01,Mel,Almada
almanar01,Armando,Almanza
almanca01,Carlos,Almanzar
almeira01,Rafael,Almeida
almonab01,Abraham,Almonte
almonbi01,Bill,Almon
almoned01,Edwin,Almonte
almoner01,Erick,Almonte
almonhe01,Hector,Almonte
almonmi01,Miguel,Almonte
almonzo01,Zoilo,Almonte
alomalu01,Luis,Aloma
alomaro01,Roberto,Alomar
alomasa01,Sandy,Alomar
alomasa02,Sandy,Alomar
alonsyo01,Yonder,Alonso
aloufe01,Felipe,Alou
alouje01,Jesus,Alou
alouma01,Matty,Alou
aloumo01,Moises,Alou
alperwh01,Whitey,Alpermann
alstode01,Dell,Alston
alstoga01,Garvin,Alston
alstoto01,Tom,Alston
alstowa01,Walter,Alston
altampo01,Porfi,Altamirano
altener01,Ernie,Alten
altenje01,Jesse,Altenburg
altheaa01,Aaron,Altherr
altizda01,Dave,Altizer
altmage01,George,Altman
altobjo01,Joe,Altobelli
altroni01,Nick,Altrock
altuvjo01,Jose,Altuve
alusige01,George,Alusik
alvarab01,Abe,Alvarez
alvarcl01,Clemente,Alvarez
alvarda01,Dario,Alvarez
alvarda02,Dariel,Alvarez
alvarga01,Gabe,Alvarez
alvarhe01,Henderson,Alvarez
alvarjo01,Jose,Alvarez
alvarjo02,Jose,Alvarez
alvarju01,Juan,Alvarez
alvarlu01,Luis,Alvarado
alvaror01,Orlando,Alvarez
alvaros01,Ossie,Alvarez
alvarpe01,Pedro,Alvarez
alvarrj01,R. J.,Alvarez
alvarro01,Rogelio,Alvarez
alvarta01,Tavo,Alvarez
alvarto01,Tony,Alvarez
alvarvi01,Victor,Alvarez
alvarwi01,Wilson,Alvarez
alvisma01,Max,Alvis
alvorbi01,Billy,Alvord
alyeabr01,Brant,Alyea
amalfjo01,Joey,Amalfitano
amarari01,Rich,Amaral
amarial01,Alexi,Amarista
amaroru01,Ruben,Amaro
amaroru02,Ruben,Amaro
amblewa01,Wayne,Ambler
ambrech01,Chip,Ambres
ambrihe01,Hector,Ambriz
amelued01,Ed,Amelung
amesre01,Red,Ames
amesst01,Steve,Ames
amezaal01,Alfredo,Amezaga
amoledo01,Doc,Amole
amorosa01,Sandy,Amoros
amorvi01,Vicente,Amor
anckewa01,Walter,Ancker
anderal01,Alf,Anderson
anderal02,Allan,Anderson
anderan01,Andy,Anderson
anderbi01,Bill,Anderson
anderbo01,Bob,Anderson
anderbr01,Brady,Anderson
anderbr02,Brian,Anderson
anderbr03,Brian,Anderson
anderbr04,Brett,Anderson
anderbr05,Bryan,Anderson
anderbu01,Bud,Anderson
anderch01,Chase,Anderson
anderco01,Cody,Anderson
andercr01,Craig,Anderson
anderda01,Dave,Anderson
anderda02,Dave,Anderson
anderdr01,Drew,Anderson
anderdw01,Dwain,Anderson
anderfe01,Ferrell,Anderson
anderfr01,Fred,Anderson
anderga01,Garret,Anderson
anderge01,George,Anderson
andergo01,Goat,Anderson
anderha01,Hal,Anderson
anderha02,Harry,Anderson
anderja01,Jason,Anderson
anderji01,Jim,Anderson
anderji02,Jimmy,Anderson
anderjo01,John,Anderson
anderjo02,John,Anderson
anderjo03,Josh,Anderson
anderke01,Kent,Anderson
anderla01,Larry,Anderson
anderla02,Larry,Andersen
anderla03,Lars,Anderson
anderma01,Matt,Anderson
anderma02,Marlon,Anderson
andermi01,Mike,Anderson
andermi02,Mike,Anderson
anderre01,Red,Anderson
anderri01,Rick,Anderson
anderri02,Rick,Anderson
andersc01,Scott,Anderson
andersp01,Sparky,Anderson
anderva01,Varney,Anderson
anderwa01,Walter,Anderson
anderwi01,Wingo,Anderson
andinro01,Robert,Andino
andrast01,Steve,Andrade
andrecl01,Clayton,Andrews
andreed01,Ed,Andrews
andreel01,Elbert,Andrews
andreer01,Ernie,Andres
andrefr01,Fred,Andrews
andrehu01,Hub,Andrews
andreiv01,Ivy,Andrews
andreji01,Jim,Andrews
andrejo01,John,Andre
andrejo02,John,Andrews
andreki01,Kim,Andrew
andremi01,Mike,Andrews
andrena01,Nate,Andrews
andrero01,Rob,Andrews
andresh01,Shane,Andrews
andrest01,Stan,Andrews
andrewa01,Wally,Andrews
andrima01,Matt,Andriese
andrubi01,Bill,Andrus
andruel01,Elvis,Andrus
andrufr01,Fred,Andrus
andruwi01,Wyman,Andrus
andujjo01,Joaquin,Andujar
andujlu01,Luis,Andujar
angelno01,Norm,Angelini
anglema01,Matt,Angle
angleto01,Tom,Angley
ankenpa01,Pat,Ankenman
ankieri01,Rick,Ankiel
annade01,Dean,Anna
annisbi01,Bill,Annis
ansonca01,Cap,Anson
anthoer01,Eric,Anthony
antoljo01,Joe,Antolick
antonbi01,Bill,Antonello
antonjo01,John,Antonelli
antonjo02,Johnny,Antonelli
antonma01,Matt,Antonelli
aokino01,Nori,Aoki
aparilu01,Luis,Aparicio
apodabo01,Bob,Apodaca
apontlu01,Luis,Aponte
appieke01,Kevin,Appier
appleed01,Ed,Appleton
applefr01,Fred,Applegate
applepe01,Pete,Appleton
applilu01,Luke,Appling
aquingr01,Greg,Aquino
aquinlu01,Luis,Aquino
aragoan01,Angel,Aragon
aragoja01,Jack,Aragon
araujel01,Elvis,Araujo
archdma01,Maurice,Archdeacon
archech01,Chris,Archer
archefr01,Fred,Archer
archeji01,Jimmy,Archer
archeji02,Jim,Archer
archige01,George,Archie
arciajo01,Jose,Arcia
arciaos01,Oswaldo,Arcia
ardelda01,Dan,Ardell
ardizru01,Rugger,Ardizoia
ardnejo01,Joe,Ardner
ardoida01,Danny,Ardoin
arellfr01,Frank,Arellanes
arenano01,Nolan,Arenado
arencjp01,J. P.,Arencibia
arftha01,Hank,Arft
ariasal01,Alex,Arias
ariasal02,Alberto,Arias
ariasge01,George,Arias
ariasjo01,Joaquin,Arias
ariasru01,Rudy,Arias
arletbu01,Buzz,Arlett
arlicdo01,Don,Arlich
arlinst01,Steve,Arlin
armasma01,Marcos,Armas
armasto01,Tony,Armas
armasto02,Tony,Armas
armbrch01,Charlie,Armbruster
armbred01,Ed,Armbrister
armbrha01,Harry,Armbruster
armbror01,Orville,Armbrust
armoubi99,Bill,Armour
armstbo01,Robert,Armstrong
armstge01,George,Armstrong
armstho01,Howard,Armstrong
armstja01,Jack,Armstrong
armstmi01,Mike,Armstrong
armstsh01,Shawn,Armstrong
arndtha01,Harry,Arndt
arndtla01,Larry,Arndt
arnolbi01,Billy,Arnold
arnolch01,Chris,Arnold
arnolja01,Jamie,Arnold
arnolsc01,Scott,Arnold
arnolto01,Tony,Arnold
arnovmo01,Morrie,Arnovich
arnsbbr01,Brad,Arnsberg
arntzor01,Orie,Arntzen
arochre01,Rene,Arocha
arojo01,Jonathan,Aro
arredjo01,Jose,Arredondo
arrieja01,Jake,Arrieta
arrigge01,Gerry,Arrigo
arrojro01,Rolando,Arrojo
arroybr01,Bronson,Arroyo
arroyfe01,Fernando,Arroyo
arroylu01,Luis,Arroyo
arroyru01,Rudy,Arroyo
arrueer01,Erisbel,Arruebarrena
arundha01,Harry,Arundel
arundtu01,Tug,Arundel
asadora01,Randy,Asadoor
asbelji01,Jim,Asbell
asbjoca01,Casper,Asbjornson
ascanjo01,Jose,Ascanio
ascheco01,Cody,Asche
asencmi01,Miguel,Asencio
ashburi01,Richie,Ashburn
ashbyal01,Alan,Ashby
ashbyan01,Andy,Ashby
asheral01,Alec,Asher
ashfotu01,Tucker,Ashford
ashke01,Ken,Ash
ashlebi01,Billy,Ashley
ashlene01,Nevin,Ashley
asmusto01,Tom,Asmussen
asprobo01,Bob,Aspromonte
asproke01,Ken,Aspromonte
asselbr01,Brian,Asselstine
assenpa01,Paul,Assenmacher
astacez01,Ezequiel,Astacio
astacpe01,Pedro,Astacio
astrojo01,Joe,Astroth
atchisc01,Scott,Atchison
atchlju01,Justin,Atchley
atherch01,Charlie,Atherton
atherke01,Keith,Atherton
atilalu01,Luis,Atilano
atkinal01,Al,Atkinson
atkinbi01,Bill,Atkinson
atkined01,Ed,Atkinson
atkinga01,Garrett,Atkins
atkinja01,James,Atkins
atkinle01,Lefty,Atkinson
atkinmi01,Mitch,Atkins
atkinto01,Tommy,Atkins
attredi01,Dick,Attreau
atwelto01,Toby,Atwell
atwoobi01,Bill,Atwood
atzja01,John,Atz
aubreha01,Chub,Aubrey
aubremi01,Michael,Aubrey
aucoide01,Derek,Aucoin
auderi01,Rich,Aude
auerbri01,Rick,Auerbach
augenbr01,Bryan,Augenstein
augusda01,Dave,Augustine
augusdo01,Don,August
augusje01,Jerry,Augustine
aukerel01,Elden,Auker
auldsle01,Tex,Aulds
aultdo01,Doug,Ault
aumonph01,Phillippe,Aumont
aurilri01,Rich,Aurilia
ausanjo01,Joe,Ausanio
ausmubr01,Brad,Ausmus
austde01,Dennis,Aust
austihe01,Henry,Austin
austije01,Jeff,Austin
austiji01,Jimmy,Austin
austiji02,Jim,Austin
austiri01,Rick,Austin
autryal01,Al,Autry
autrych01,Chick,Autry
autrych02,Chick,Autry
avenbr01,Bruce,Aven
averiea01,Earl,Averill
averiea02,Earl,Averill
averyst01,Steve,Avery
averyxa01,Xavier,Avery
avilaal01,Alex,Avila
avilabo01,Bobby,Avila
avilalu01,Luis,Avilan
avilemi01,Mike,Aviles
avilera01,Ramon,Aviles
avreaja01,Jay,Avrea
axelrdy01,Dylan,Axelrod
axforjo01,John,Axford
ayalabe01,Benny,Ayala
ayalabo01,Bobby,Ayala
ayalalu01,Luis,Ayala
aybarer01,Erick,Aybar
aybarma01,Manny,Aybar
aybarwi01,Willy,Aybar
aydelja01,Jake,Aydelott
ayersbi01,Bill,Ayers
ayersdo01,Doc,Ayers
aylwadi01,Dick,Aylward
ayraubo01,Bob,Ayrault
ayraujo01,Joe,Ayrault
azcuejo01,Joe,Azcue
azocaos01,Oscar,Azocar
babbch01,Charlie,Babb
babcobo01,Bob,Babcock
babelo01,Loren,Babe
babicjo01,Johnny,Babich
babinch01,Charlie,Babington
babitsh01,Shooty,Babitt
backebr01,Brandon,Backe
backmle01,Les,Backman
backmwa01,Wally,Backman
baconed01,Eddie,Bacon
bacsimi01,Mike,Bacsik
bacsimi02,Mike,Bacsik
baczefr01,Fred,Baczewski
badenbu01,Burke,Badenhop
baderar01,Art,Bader
baderlo01,King,Bader
badgrre01,Red,Badgro
baeched01,Ed,Baecht
baekch01,Cha-Seung,Baek
baergca01,Carlos,Baerga
baezbe01,Benito,Baez
baezda01,Danys,Baez
baezja01,Javier,Baez
baezjo01,Jose,Baez
baezke01,Kevin,Baez
baezpe01,Pedro,Baez
bagbyji01,Jim,Bagby
bagbyji02,Jim,Bagby
bagwebi01,Bill,Bagwell
bagweje01,Jeff,Bagwell
bahnsst01,Stan,Bahnsen
bahred01,Ed,Bahr
bahrefr01,Frank,Bahret
baichgr01,Grover,Baichley
bailean01,Andrew,Bailey
bailebi01,Bill,Bailey
bailebi02,Bill,Bailey
bailebo01,Bob,Bailey
baileco01,Cory,Bailey
baileed01,Ed,Bailey
bailefr01,Fred,Bailey
bailege01,Gene,Bailey
baileha01,Harvey,Bailey
baileho01,Howard,Bailey
baileho02,Homer,Bailey
baileje01,Jeff,Bailey
baileji01,Jim,Bailey
baileki01,King,Bailey
bailema01,Mark,Bailey
bailero01,Roger,Bailey
bailesc01,Scott,Bailes
bailest01,Steve,Bailey
bailesw01,Sweetbread,Bailey
bailobo01,Bob,Bailor
baineha01,Harold,Baines
bainlo01,Loren,Bain
bairdal01,Al,Baird
bairdbo01,Bob,Baird
bairddo01,Doug,Baird
bairdo01,Doug,Bair
baislje01,Jeff,Baisley
bajenje01,Jeff,Bajenaru
bakelje01,Jersey,Bakley
bakenda01,Dave,Bakenhaster
bakeral01,Al,Baker
bakerbi01,Bill,Baker
bakerbo01,Bock,Baker
bakerch01,Charlie,Baker
bakerch02,Chuck,Baker
bakerda01,Dave,Baker
bakerde01,Del,Baker
bakerdo01,Doug,Baker
bakerdu01,Dusty,Baker
bakerer01,Ernie,Baker
bakerfl01,Floyd,Baker
bakerfr01,Home Run,Baker
bakerfr02,Frank,Baker
bakerfr03,Frank,Baker
bakerge01,George,Baker
bakerge02,Gene,Baker
bakerho01,Howard,Baker
bakerja01,Jack,Baker
bakerje01,Jesse,Baker
bakerje02,Jesse,Baker
bakerje03,Jeff,Baker
bakerjo01,John,Baker
bakerki01,Kirtley,Baker
bakerne01,Neal,Baker
bakerno01,Norm,Baker
bakerph01,Phil,Baker
bakersc01,Scott,Baker
bakersc02,Scott,Baker
bakerst01,Steve,Baker
bakerto01,Tom,Baker
bakerto02,Tom,Baker
bakertr01,Tracy,Baker
bakopa01,Paul,Bako
balasmi01,Mike,Balas
balazjo01,John,Balaz
balbost01,Steve,Balboni
balcebo01,Bobby,Balcena
baldero01,Rocco,Baldelli
baldsja01,Jack,Baldschun
baldwbi01,Billy,Baldwin
baldwda01,Dave,Baldwin
baldwfr01,Frank,Baldwin
baldwha01,Harry,Baldwin
baldwhe01,Henry,Baldwin
