playerid,namefirst,namelast
calhoja01,Jack,Calhoun
calhoje01,Jeff,Calhoun
calhoko01,Kole,Calhoun
calica01,Carmen,Cali
caligfr01,Fred,Caligiuri
calihwi01,Will,Calihan
calixor01,Orlando,Calixte
callaal01,Alberto,Callaspo
callabe01,Ben,Callahan
callada01,Dave,Callahan
callaed01,Ed,Callahan
callafr01,Frank,Callaway
callaji01,Jim,Callahan
callajo01,Joe,Callahan
callajo02,John,Callahan
callale01,Leo,Callahan
callama01,Marty,Callaghan
callami01,Mickey,Callaway
callani01,Jimmy,Callahan
callapa01,Pat,Callaghan
callara01,Ray,Callahan
callawe01,Wese,Callahan
callijo01,Johnny,Callison
calloro01,Ron,Calloway
calmudi01,Dick,Calmus
calvema01,Mark,Calvert
calvepa01,Paul,Calvert
calvoja01,Jack,Calvo
calzana01,Napoleon,Calzado
camacer01,Ernie,Camacho
cambrfr01,Fred,Cambria
camelha01,Hank,Camelli
camerja01,Jack,Cameron
camerke01,Kevin,Cameron
camermi01,Mike,Cameron
camildo01,Dolph,Camilli
camildo02,Doug,Camilli
camillo01,Lou,Camilli
caminar01,Arquimedes,Caminero
caminke01,Ken,Caminiti
cammaer01,Eric,Cammack
camniha01,Harry,Camnitz
camniho01,Howie,Camnitz
campaal01,Al,Campanis
campabe01,Bert,Campaneris
campaco01,Count,Campau
campaji01,Jim,Campanis
camparo01,Roy,Campanella
campato01,Tony,Campana
campbar01,Archie,Campbell
campbbi01,Billy,Campbell
campbbi02,Bill,Campbell
campbbr01,Bruce,Campbell
campbbr02,Brett,Campbell
campbda01,Dave,Campbell
campbda02,Dave,Campbell
campber01,Eric,Campbell
campbgi01,Gilly,Campbell
campbhu01,Hugh,Campbell
campbhu02,Marc,Campbell
campbji01,Jim,Campbell
campbji02,Jim,Campbell
campbji03,Jim,Campbell
campbjo01,John,Campbell
campbjo02,Joe,Campbell
campbke01,Kevin,Campbell
campbmi01,Mike,Campbell
campbmi02,Michael,Campbell
campbpa01,Paul,Campbell
campbro01,Ron,Campbell
campbsa01,Sam,Campbell
campbso01,Soup,Campbell
campbvi01,Vin,Campbell
campeca01,Cardell,Camper
campfsa01,Sal,Campfield
campho01,Howie,Camp
campijo01,Jorge,Campillo
campisa01,Sal,Campisi
campki01,Kid,Camp
cample01,Lew,Camp
campofr01,Frank,Campos
campole01,Leonel,Campos
campri01,Rick,Camp
campsh01,Shawn,Camp
campusi01,Sil,Campusano
canalge01,George,Canale
canatwi01,Willie,Canate
canavhu01,Hugh,Canavan
canavji01,Jim,Canavan
cancero01,Robinson,Cancel
candaca01,Casey,Candaele
candejo01,John,Candelaria
candimi01,Milo,Candini
candito01,Tom,Candiotti
caneijo01,John,Caneira
cangejo01,John,Cangelosi
canhama01,Mark,Canha
canizba01,Barbaro,Canizares
canizja01,Jay,Canizaro
canneri01,Rip,Cannell
cannian01,Andy,Cannizaro
cannich01,Chris,Cannizzaro
cannojo01,Joe,Cannon
canojo01,Jose,Cano
canoro01,Robinson,Cano
cansejo01,Jose,Canseco
canseoz01,Ozzie,Canseco
cantijo99,Joe,Cantillon
cantrgu01,Guy,Cantrell
cantujo01,Jorge,Cantu
cantwbe01,Ben,Cantwell
cantwmi01,Mike,Cantwell
cantwto01,Tom,Cantwell
cantzba01,Bart,Cantz
canzlru01,Russ,Canzler
capeljo01,Jose,Capellan
capelmi01,Mike,Capel
capildo01,Doug,Capilla
cappsca01,Carter,Capps
cappsma01,Matt,Capps
cappuge01,George,Cappuzzello
caprabu01,Buzz,Capra
caprani01,Nick,Capra
capripa01,Pat,Capri
caprora01,Ralph,Capron
capuach01,Chris,Capuano
carabra01,Ramon,Caraballo
carawpa01,Pat,Caraway
carbijo01,John,Carbine
carbobe01,Bernie,Carbo
cardead01,Adrian,Cardenas
cardejo01,John,Carden
cardejo02,Jose,Cardenal
cardele01,Leo,Cardenas
cardico01,Conrad,Cardinal
cardobe01,Ben,Cardoni
cardoja01,Javier,Cardona
cardwdo01,Don,Cardwell
carewro01,Rod,Carew
careyan01,Andy,Carey
careyma01,Max,Carey
careypa01,Paul,Carey
careyro01,Roger,Carey
careysc01,Scoops,Carey
careyto01,Tom,Carey
careyto02,Tom,Carey
carfred01,Ed,Carfrey
cargobo01,Bobby,Cargo
carides01,Esmailin,Caridad
carigan01,Andrew,Carignan
carisfr01,Fred,Carisch
carleji01,Jim,Carleton
carlete01,Tex,Carleton
carlfr01,Fred,Carl
carliji01,Jim,Carlin
carlilu01,Luke,Carlin
carliwa01,Walter,Carlisle
carlle01,Lew,Carl
carloci01,Cisco,Carlos
carlsda01,Dan,Carlson
carlsdo01,Don,Carlsen
carlsha01,Hal,Carlson
carlsje01,Jesse,Carlson
carlsle01,Leon,Carlson
carlssw01,Swede,Carlstrom
carltst01,Steve,Carlton
carlybu01,Buddy,Carlyle
carlycl01,Cleo,Carlyle
carlyro01,Roy,Carlyle
carmado01,Don,Carman
carmage01,George,Carman
carmedu01,Duke,Carmel
carmich01,Chet,Carmichael
carmofa01,Roberto,Hernandez
carmora01,Rafael,Carmona
carnebi01,Bill,Carney
carneed01,Eddie,Carnett
carnejo01,Jack,Carney
carnepa01,Pat,Carney
carpean01,Drew,Carpenter
carpebo01,Bob,Carpenter
carpebu01,Bubba,Carpenter
carpech01,Chris,Carpenter
carpech02,Chris,Carpenter
carpecr01,Cris,Carpenter
carpeda01,David,Carpenter
carpeda02,David,Carpenter
carpehi01,Hick,Carpenter
carpele01,Lew,Carpenter
carpema01,Matt,Carpenter
carpepa01,Paul,Carpenter
carpifr01,Frank,Carpin
carpmi01,Mike,Carp
carraal01,Alex,Carrasquel
carraca01,Carlos,Carrasco
carrach01,Chico,Carrasquel
carradj01,D. J.,Carrasco
carragi01,Giovanni,Carrara
carrahe01,Hector,Carrasco
carrch01,Charlie,Carr
carrch02,Chuck,Carr
carream01,Amalio,Carreno
carreca01,Cam,Carreon
carreez01,Ezequiel,Carrera
carrejo01,Joel,Carreno
carrema01,Mark,Carreon
carribi01,Bill,Carrick
carribi02,Bill,Carrigan
carrice01,Cesar,Carrillo
carrido01,Don,Carrithers
carrima01,Matias,Carrillo
carrle01,Lew,Carr
carrobr01,Brett,Carroll
carroch01,NA,Carroll
carrocl01,Cliff,Carroll
carrocl02,Clay,Carroll
carrodi01,Dick,Carroll
carrodi02,Dixie,Carroll
carrodo01,Doc,Carroll
carroed01,Ed,Carroll
carrofr01,Fred,Carroll
carroja01,Jamey,Carroll
carroow01,Ownie,Carroll
carropa01,Pat,Carroll
carrosc01,Scrappy,Carroll
carrosc02,Scott,Carroll
carroto01,Tom,Carroll
carroto02,Tom,Carroll
carseki01,Kid,Carsey
carsoal01,Al,Carson
carsoki01,Kit,Carson
carsoma01,Matt,Carson
carsoro01,Robert,Carson
carswfr01,Frank,Carswell
cartean01,Andy,Carter
cartear01,Arnold,Carter
cartebl01,Blackie,Carter
cartech01,Chris,Carter
cartech02,Chris,Carter
cartega01,Gary,Carter
carteho01,Howie,Carter
carteje01,Jeff,Carter
cartejo01,Joe,Carter
cartela01,Larry,Carter
cartela02,Lance,Carter
carteni01,Nick,Carter
cartepa01,Paul,Carter
carteso01,Sol,Carter
cartest01,Steve,Carter
cartwal99,Alexander,Cartwright
cartwed01,Ed,Cartwright
cartyri01,Rico,Carty
carusmi01,Mike,Caruso
carutbo01,Bob,Caruthers
carvama01,Marcos,Carvajal
carych01,Chuck,Cary
carysc01,Scott,Cary
casalcu01,Curt,Casali
casalje01,Jerry,Casale
casanpa01,Paul,Casanova
casanra01,Raul,Casanova
cascajo01,Joe,Cascarella
casech01,Charlie,Case
casege01,George,Case
caseybi01,Tommy,Casey
caseybo01,Bob,Casey
caseyda01,Dan,Casey
caseyde01,Dennis,Casey
caseydo01,Doc,Casey
caseyhu01,Hugh,Casey
caseyjo01,Joe,Casey
caseyse01,Sean,Casey
cashda01,Dave,Cash
cashica01,Carl,Cashion
cashke01,Kevin,Cash
cashnan01,Andrew,Cashner
cashno01,Norm,Cash
cashro01,Ron,Cash
casiala01,Larry,Casian
casilal01,Alexi,Casilla
casimca01,Carlos,Casimiro
caskecr01,Craig,Caskey
caskied01,Ed,Caskin
cassaha01,Harry,Cassady
cassebo01,Bobby,Cassevah
casseja01,Jack,Cassel
cassied01,Ed,Cassian
cassija01,Jack,Cassini
cassijo01,John,Cassidy
cassijo02,Joe,Cassidy
cassipe01,Pete,Cassidy
cassisc01,Scott,Cassidy
casteal01,Alex,Castellanos
castege01,George,Caster
casteni01,Nick,Castellanos
castepe01,Pedro,Castellano
castial01,Alberto,Castillo
castial02,Alberto,Castillo
castibo01,Bobby,Castillo
castibr01,Braulio,Castillo
castica01,Carmelo,Castillo
castica02,Carlos,Castillo
castifr01,Frank,Castillo
castiji01,Jim,Castiglia
castijo01,John,Castino
castijo02,Jose,Castillo
castiju01,Juan,Castillo
castiju02,Juan,Castillo
castile01,Lendy,Castillo
castilu01,Luis,Castillo
castima01,Manny,Castillo
castima02,Marty,Castillo
castipe01,Pete,Castiglione
castiru01,Rusney,Castillo
castito01,Tony,Castillo
castito02,Tony,Castillo
castivi01,Vince,Castino
castivi02,Vinny,Castilla
castiwe01,Welington,Castillo
castiwi01,Wilkin,Castillo
castldo01,Don,Castle
castlfo01,Foster,Castleman
castljo01,John,Castle
castlro01,Roy,Castleton
castlsl01,Slick,Castleman
castnpa01,Paul,Castner
castoko01,Kory,Casto
castran01,Angel,Castro
castrbe01,Bernie,Castro
castrbi01,Bill,Castro
castrda01,Daniel,Castro
castrfa01,Fabio,Castro
castrja01,Jason,Castro
castrju01,Juan,Castro
castrlu01,Lou,Castro
castrmi01,Miguel,Castro
castrra01,Ramon,Castro
castrra02,Ramon,Castro
castrsi01,Simon,Castro
castrst01,Starlin,Castro
catalfr01,Frank,Catalanotto
caterda01,Danny,Cater
catesel01,Eli,Cates
catetr01,Troy,Cate
catheha01,Hardin,Cathey
cathemi01,Mike,Cather
cathete01,Ted,Cather
catoke01,Keefe,Cato
catonho01,Howdy,Caton
cattajo01,John,Cattanach
catteto01,Tom,Catterson
caudibi01,Bill,Caudill
caulfja01,Jake,Caulfield
causere01,Red,Causey
causewa01,Wayne,Causey
cavanjo01,John,Cavanaugh
cavarph01,Phil,Cavarretta
cavazan01,Andy,Cavazos
cavenik01,Ike,Caveney
cavetpu01,Pug,Cavet
cayloop99,Ollie,Caylor
ceccaar01,Art,Ceccarelli
cecchga01,Garin,Cecchini
cecenjo01,Jose,Cecena
cecilbr01,Brett,Cecil
cecilda01,Darrell,Ceciliani
cecilre01,Rex,Cecil
cedajo01,Jose,Ceda
cedenan01,Andujar,Cedeno
cedence01,Cesar,Cedeno
cedendo01,Domingo,Cedeno
cedenro01,Roger,Cedeno
cedenro02,Ronny,Cedeno
cedenxa01,Xavier,Cedeno
centeju01,Juan,Centeno
centepe01,Pete,Center
cepedor01,Orlando,Cepeda
cepicma01,Matthew,Cepicky
cerdaja01,Jaime,Cerda
cermaed01,Ed,Cermak
ceronri01,Rick,Cerone
cerroju01,Juan,Cerros
cerutjo01,John,Cerutti
cervbo01,Bob,Cerv
cervefr01,Francisco,Cervelli
cervemi01,Mike,Cervenak
cespeyo01,Yoenis,Cespedes
ceyro01,Ron,Cey
chacigu01,Gustavo,Chacin
chacijh01,Jhoulys,Chacin
chacoel01,Elio,Chacon
chacosh01,Shawn,Chacon
chadbch01,Chet,Chadbourne
chadwhe99,Henry,Chadwick
chadwra01,Ray,Chadwick
chafian01,Andrew,Chafin
chagnle01,Leon,Chagnon
chakabo01,Bob,Chakales
chalkda01,Dave,Chalk
chalmge01,George,Chalmers
chambad01,Adron,Chambers
chambal01,Al,Chambers
chambbi01,Bill,Chambers
chambbi02,Bill,Chamberlain
chambch01,Chris,Chambliss
chambcl01,Cliff,Chambers
chambcr01,Craig,Chamberlain
chambel01,Ice Box,Chamberlain
chambji01,Jim,Chamblee
chambjo01,Joe,Chamberlain
chambjo02,Johnnie,Chambers
chambjo03,Joba,Chamberlain
chambro01,Rome,Chambers
chambwe01,Wes,Chamberlain
champbi01,Bill,Champion
champmi01,Mike,Champion
chancbo01,Bob,Chance
chancde01,Dean,Chance
chancfr01,Frank,Chance
chanded01,Ed,Chandler
chandha99,Happy,Chandler
chandsp01,Spud,Chandler
chaneda01,Darrel,Chaney
chanees01,Esty,Chaney
channle01,Les,Channell
chantch01,Charlie,Chant
chapida01,Darrin,Chapin
chapled01,Ed,Chaplin
chaplti01,Tiny,Chaplin
chapmar01,Aroldis,Chapman
chapmbe01,Ben,Chapman
chapmca01,Calvin,Chapman
chapmed01,Ed,Chapman
chapmfr01,Frank,Chapman
chapmfr02,Fred,Chapman
chapmgl01,Glenn,Chapman
chapmha01,Harry,Chapman
chapmja01,Jack,Chapman
chapmja02,Jaye,Chapman
chapmjo01,John,Chapman
chapmke01,Kelvin,Chapman
chapmke02,Kevin,Chapman
chapmra01,Ray,Chapman
chapmsa01,Sam,Chapman
chapmtr01,Travis,Chapman
chappbi01,Bill,Chappelle
chappha01,Harry,Chappas
chappla01,Larry,Chappell
charbjo01,Joe,Charboneau
charlch01,Chappy,Charles
charled01,Ed,Charles
charlfr01,Frank,Charles
charlno01,Norm,Charlton
charlos99,Oscar,Charleston
chartmi01,Mike,Chartak
chartpe01,Pete,Charton
chaseha01,Hal,Chase
chaseke01,Ken,Chase
chathbu01,Buster,Chatham
chattji01,Jim,Chatterton
chatwty01,Tyler,Chatwood
chavaos01,Ossie,Chavarria
chavean01,Anthony,Chavez
chavean02,Angel,Chavez
chaveen01,Endy,Chavez
chaveer01,Eric,Chavez
chaveje01,Jesse,Chavez
chavene01,Nestor,Chavez
chavera01,Raul,Chavez
cheadda01,Dave,Cheadle
chechch01,Charlie,Chech
checoro01,Robinson,Checo
cheekha01,Harry,Cheek
cheevvi01,Virgil,Cheeves
cheliit01,Italo,Chelini
chenbr01,Bruce,Chen
chench01,Chin-Feng,Chen
chenela01,Larry,Cheney
cheneto01,Tom,Cheney
chenwe02,Wei-Yin,Chen
cherrro01,Rocky,Cherry
chervpa01,Paul,Chervinko
chesbja01,Jack,Chesbro
chesnbo01,Bob,Chesnes
chetkmi01,Mitch,Chetkovich
cheveto01,Tony,Chevez
chiamsc01,Scott,Chiamparino
chiassc01,Scott,Chiasson
chicktr01,Travis,Chick
chicoma01,Matt,Chico
chifffl01,Floyd,Chiffer
childbi01,Bill,Childers
childcu01,Cupid,Childs
childha01,Harry,Child
childja01,Jason,Childers
childma01,Matt,Childers
childpe01,Pete,Childs
childro01,Rocky,Childress
childsa01,Sam,Childs
chilepe01,Pearce,Chiles
chileri01,Rich,Chiles
chiozdi01,Dino,Chiozza
chiozlo01,Lou,Chiozza
chipmbo01,Bob,Chipman
chippwa01,Walt,Chipple
chiriro01,Robinson,Chirinos
chiselo01,Lonnie,Chisenhall
chismto01,Tom,Chism
chitiha01,Harry,Chiti
chitrst01,Steve,Chitren
chittne01,Nelson,Chittum
chlupbo01,Bob,Chlupsa
choatdo01,Don,Choate
choatra01,Randy,Choate
choicmi01,Michael,Choice
choihe01,Hee-Seop,Choi
choji01,Jin Ho,Cho
choosh01,Shin-Soo,Choo
chouibo01,Bobby,Chouinard
chouife01,Felix,Chouinard
chounch01,Chief,Chouneau
chozeha01,Harry,Chozen
chrisbo01,Bob,Christian
chrisbr01,Bruce,Christensen
chriscl01,Clay,Christiansen
chriscu01,Cuckoo,Christensen
chrisga01,Gary,Christenson
chrisja01,Jason,Christiansen
chrisjo01,Joe,Christopher
chrisjo02,John,Christensen
chrisju01,Justin,Christian
chrisla01,Larry,Christenson
chrisll01,Lloyd,Christenbury
chrislo01,Loyd,Christopher
chrisma01,Mark,Christman
chrismc01,McKay,Christensen
chrismi01,Mike,Chris
chrismi02,Mike,Christopher
chrisne01,Neil,Chrisley
chrisni01,Nick,Christiani
chrisru01,Russ,Christopher
chrisry01,Ryan,Christenson
chrisst01,Steve,Christmas
christi01,Tim,Christman
chulkvi01,Vinnie,Chulk
churcbu01,Bubba,Church
churchi01,Hi,Church
churcle01,Len,Church
churcry01,Ryan,Church
churnch01,Chuck,Churn
churrjo01,John,Churry
chylane99,Nestor,Chylak
ciaffla01,Larry,Ciaffone
cianfar01,Archi,Cianfrocco
ciardma01,Mark,Ciardi
ciasda01,Darryl,Cias
cicerjo01,Joe,Cicero
cicotal01,Al,Cicotte
cicoted01,Eddie,Cicotte
cieslte01,Ted,Cieslak
cihocal01,Al,Cihocki
cihoced01,Ed,Cihocki
ciminpe01,Pete,Cimino
cimolgi01,Gino,Cimoli
cimorfr01,Frank,Cimorelli
cingrto01,Tony,Cingrani
cintral01,Alex,Cintron
ciolalo01,Lou,Ciola
ciprifr01,Frank,Cipriani
ciriape01,Pedro,Ciriaco
cirilje01,Jeff,Cirillo
cisarge01,George,Cisar
ciscoga01,Galen,Cisco
cishest01,Steve,Cishek
cisnejo01,Jose,Cisnero
cissebi01,Bill,Cissell
citarra01,Ralph,Citarella
clabamo01,Moose,Clabaugh
clackbo01,Bobby,Clack
claggan01,Anthony,Claggett
claibpr01,Preston,Claiborne
clairda01,Davey,Claire
clancal01,Al,Clancy
clancbi01,Bill,Clancy
clancbu01,Bud,Clancy
clancji01,Jim,Clancy
clantuk01,Uke,Clanton
clapich01,Chris,Clapinski
clappaa01,Aaron,Clapp
clappjo01,John,Clapp
clappst01,Stubby,Clapp
clarede01,Denny,Clare
claredo01,Doug,Clarey
clarkal01,Allie,Clark
clarkar01,Artie,Clarke
clarkbi01,Bill,Clarkson
clarkbo01,Bob,Clark
clarkbo02,Boileryard,Clarke
clarkbo03,Bob,Clark
clarkbo04,Bobby,Clark
clarkbr01,Bryan,Clark
clarkbr02,Brady,Clark
clarkbu01,Buzz,Clarkson
clarkca01,Cap,Clark
clarkco01,Cody,Clark
clarkda01,Dad,Clarke
clarkda02,Dad,Clarkson
clarkda03,Dad,Clark
clarkda04,Danny,Clark
clarkda05,Dave,Clark
clarkda06,Darren,Clarke
clarkdo01,Doug,Clark
clarkea01,Earl,Clark
clarked01,Ed,Clark
clarkfr01,Fred,Clarke
clarkge01,George,Clark
clarkgi01,Ginger,Clark
clarkgl01,Glen,Clark
clarkgr01,Grey,Clarke
clarkha01,Harry,Clarke
clarkhe01,Henry,Clarke
clarkho01,Horace,Clarke
clarkho02,Howie,Clark
clarkja01,Jack,Clark
clarkje01,Jerald,Clark
clarkje02,Jermaine,Clark
clarkji01,Jim,Clark
clarkji02,Jim,Clark
clarkji03,Jim,Clark
clarkjo01,John,Clarkson
clarkjo02,Josh,Clarke
clarkle01,Lefty,Clarke
clarkma01,Mark,Clark
clarkma02,Matt,Clark
clarkme01,Mel,Clark
clarkmi01,Mike,Clark
clarkni01,Nig,Clarke
clarkot01,Otey,Clark
clarkpe01,Pep,Clark
clarkph01,Phil,Clark
clarkph02,Phil,Clark
clarkri01,Rickey,Clark
clarkro01,Roy,Clark
clarkro02,Ron,Clark
clarkru01,Rufe,Clarke
clarksp01,Spider,Clark
clarkst01,Stu,Clarke
clarkst02,Stan,Clarke
clarksu01,Sumpter,Clarke
clarkte01,Terry,Clark
clarkto01,Tommy,Clarke
clarkto02,Tony,Clark
clarkwa01,Walter,Clarkson
clarkwa02,Watty,Clark
clarkwe01,Webbo,Clarke
clarkwi01,Willie,Clark
clarkwi02,Will,Clark
clarkwi03,Win,Clark
clarkza01,Zach,Clark
claryel01,Ellis,Clary
claryma01,Marty,Clary
clasego01,Gowell,Claset
claudal01,Alex,Claudio
clausal01,Al,Clauss
clausbr01,Brandon,Claussen
clausfr01,Fritz,Clausen
claybi01,Bill,Clay
clayda01,Dain,Clay
clayda02,Danny,Clay
clayke01,Ken,Clay
claytro01,Royce,Clayton
clearjo01,Joe,Cleary
clearma01,Mark,Clear
clemebi01,Bill,Clemensen
clemebo01,Bob,Clemens
clemech01,Chet,Clemens
clemecl01,Clem,Clemens
clemedo01,Doug,Clemens
clemeed01,Fred,Clement
clemeed02,Edgard,Clemente
clemeja01,Jack,Clements
clemeje01,Jeff,Clement
clemema01,Matt,Clement
clemepa01,Pat,Clements
clemepa02,Paul,Clemens
clemero01,Roberto,Clemente
clemero02,Roger,Clemens
clemewa01,Wally,Clement
clemoch01,Chris,Clemons
clemola01,Lance,Clemons
clemove01,Verne,Clemons
clenddo01,Donn,Clendenon
cletoma01,Maikel,Cleto
cleveel01,Elmer,Cleveland
clevere01,Reggie,Cleveland
clevest01,Steve,Clevenger
clevete01,Tex,Clevenger
clevlbr01,Brent,Clevlen
clibust01,Stan,Cliburn
clibust02,Stew,Cliburn
cliftfl01,Flea,Clifton
cliftha01,Harlond,Clift
clinege01,Gene,Clines
clinemo01,Monk,Cline
clinety01,Ty,Cline
clingbi01,Billy,Clingman
clintji01,Jim,Clinton
clintlo01,Lou,Clinton
clippty01,Tyler,Clippard
clonito01,Tony,Cloninger
clontbr01,Brad,Clontz
clossjd01,JD,Closser
clostal01,Al,Closter
cloudke01,Ken,Cloude
clouged01,Ed,Clough
clowebi01,Bill,Clowers
cloydty01,Tyler,Cloyd
cluttbr01,Bryan,Clutterbuck
clybuda01,Danny,Clyburn
clydeda01,David,Clyde
clydeto01,Tom,Clyde
clymebi01,Bill,Clymer
clymeot01,Otis,Clymer
coachpe01,Pete,Coachman
coaklan01,Andy,Coakley
coangi01,Gil,Coan
coateji01,Jim,Coates
coatsbu01,Buck,Coats
cobbal01,Alex,Cobb
cobbge01,George,Cobb
cobbhe01,Herb,Cobb
cobbjo01,Joe,Cobb
cobbty01,Ty,Cobb
cobleda01,Dave,Coble
cocanja01,Jaime,Cocanower
cochrda01,Dave,Cochrane
cochrge01,George,Cochran
cochrgo01,Goat,Cochran
cochrmi01,Mickey,Cochrane
cockmji01,Jim,Cockman
cockral01,Alan,Cockrell
cocopa01,Pasqual,Coco
cocrege01,Gene,Cocreham
codirch01,Chris,Codiroli
coellro01,Robert,Coello
coffeja01,Jack,Coffey
coffeto01,Todd,Coffey
coffiiv01,Ivanon,Coffie
coffmdi01,Dick,Coffman
coffmke01,Kevin,Coffman
coffmsl01,Slick,Coffman
cogandi01,Dick,Cogan
coganto01,Tony,Cogan
coggida01,Dave,Coggin
coggifr01,Frank,Coggins
coggiri01,Rich,Coggins
coghlch01,Chris,Coghlan
cogswed01,Ed,Cogswell
cohenal01,Alta,Cohen
cohenan01,Andy,Cohen
cohenhy01,Hy,Cohen
cohensy01,Syd,Cohen
cokeph01,Phil,Coke
cokerji01,Jimmie,Coker
colabch01,Chris,Colabello
colanmi01,Mike,Colangelo
colavro01,Rocky,Colavito
colbecr01,Craig,Colbert
colbemi01,Mike,Colbern
colbena01,Nate,Colbert
colbevi01,Vince,Colbert
colboji01,Jim,Colborn
colbrgr01,Greg,Colbrunn
colcoto01,Tom,Colcolough
coleaj01,A. J.,Cole
coleal01,Alex,Cole
colebe01,Bert,Cole
coleda01,Dave,Cole
coledi01,Dick,Cole
coleed01,Ed,Cole
colege01,Gerrit,Cole
coleki01,King,Cole
colembo01,Bob,Coleman
colemca01,Casey,Coleman
colemch01,Choo-Choo,Coleman
colemcu01,Curt,Coleman
colemda01,Dave,Coleman
colemdu01,Dusty,Coleman
colemed01,Ed,Coleman
colemgo01,Gordy,Coleman
colemje01,Jerry,Coleman
colemjo01,John,Coleman
colemjo02,John,Coleman
colemjo03,Walter,Coleman
colemjo04,Joe,Coleman
colemjo05,Joe,Coleman
colemlo01,Louis,Coleman
colemmi01,Michael,Coleman
colempe01,Percy,Coleman
colemra01,Ray,Coleman
colemri01,Rip,Coleman
colemvi01,Vince,Coleman
colesca01,Cad,Coles
colesch01,Chuck,Coles
colesda01,Darnell,Coles
colest01,Stu,Cole
coletch01,Chris,Coletta
colevi01,Victor,Cole
colewi01,Willis,Cole
colgaed01,Ed,Colgan
colinal01,Alvin,Colina
collaal01,Allan,Collamore
collaha01,Hap,Collard
collawi01,Willie,Collazo
colli01,NA,Collins
collibi01,Bill,Collins
collibi02,Bill,Collins
collich01,Chub,Collins
collida01,Dan,Collins
collida02,Dave,Collins
collido01,Don,Collins
collied01,Eddie,Collins
collied02,Eddie,Collins
colliha01,Harry,Colliflower
collihu01,Hub,Collins
colliji01,Jimmy,Collins
collijo01,Joe,Collins
collike01,Kevin,Collins
collilo01,Lou,Collier
collior01,Orth,Collins
collior02,Orlin,Collier
collipa01,Pat,Collins
colliph01,Phil,Collins
collira01,Ray,Collins
colliri01,Rip,Collins
colliri02,Ripper,Collins
colliri03,Bob,Collins
collish01,Shano,Collins
collite99,Terry,Collins
colliti01,Tim,Collins
collity01,Tyler,Collins
colliwi01,Wilson,Collins
collizi01,Zip,Collins
collmjo01,Josh,Collmenter
colluja01,Jackie,Collum
collvbi01,Bill,Collver
colmafr01,Frank,Colman
colomal01,Alex,Colome
colomje01,Jesus,Colome
colonba01,Bartolo,Colon
colonch01,Christian,Colon
coloncr01,Cris,Colon
colonro01,Roman,Colon
colpadi01,Dick,Colpaert
colsolo01,Loyd,Colson
coltola01,Larry,Colton
colucbo01,Bob,Coluccio
colvity01,Tyler,Colvin
colyest01,Steve,Colyer
combege01,Geoff,Combe
combsea01,Earle,Combs
combsme01,Merl,Combs
combspa01,Pat,Combs
comeljo01,Jorge,Comellas
comerst01,Steve,Comer
comerwa01,Wayne,Comer
comisch01,Charlie,Comiskey
commaji01,Jim,Command
comorad01,Adam,Comorosky
comptcl01,Clint,Compton
comptja01,Jack,Compton
comptmi01,Mike,Compton
comptpe01,Pete,Compton
comstke01,Keith,Comstock
comstra01,Ralph,Comstock
conatcl01,Clint,Conatser
conceda01,Dave,Concepcion
conceon01,Onix,Concepcion
condera01,Ramon,Conde
condrcl01,Clay,Condrey
conebo01,Bob,Cone
coneda01,David,Cone
conefr01,Fred,Cone
confomi01,Michael,Conforto
congabu01,Bunk,Congalton
congedi01,Dick,Conger
congeha01,Hank,Conger
conigbi01,Billy,Conigliaro
conigto01,Tony,Conigliaro
coninje01,Jeff,Conine
conkwal01,Allen,Conkwright
conlajo01,Jocko,Conlan
conlead01,Adam,Conley
conlebo01,Bob,Conley
conleed01,Ed,Conley
conlege01,Gene,Conley
conlesn01,Snipe,Conley
conlojo01,Jocko,Conlon
connabr01,Bruce,Connatser
connafr01,Frank,Connaughton
connafr02,Fritzie,Connally
connasa01,Sarge,Connally
connbe01,Bert,Conn
connebi01,Bill,Connelly
connege01,Gene,Connell
connejo01,Joe,Connell
connepe01,Peter,Connell
connest01,Steve,Connelly
connete01,Terry,Connell
conneto01,Tom,Connelly
connobi01,Bill,Connors
connobu01,Bud,Connolly
connoch01,Chuck,Connors
connoed01,Ed,Connolly
connoed02,Ed,Connolly
connoje01,Jerry,Connors
connoji01,Jim,Connor
connojo01,Joe,Connors
connojo02,John,Connor
connojo03,Joe,Connor
connojo04,Joe,Connolly
connojo05,Joe,Connolly
connome01,Merv,Connors
connone01,Ned,Connor
connore01,Red,Connally
connoro01,Roger,Connor
connoto01,Tom,Connolly
connoto99,Tommy,Connolly
conovte01,Theodore,Conover
conrabr01,Brooks,Conrad
conrobe01,Ben,Conroy
conrobi01,Bill,Conroy
conrobi02,Bill,Conroy
conroti01,Tim,Conroy
conrowi01,Wid,Conroy
consobi01,Billy,Consolo
constji01,Jim,Constable
constjo01,Jose,Constanza
consusa01,Sandy,Consuegra
contija01,Jason,Conti
contrca01,Carlos,Contreras
contrjo01,Jose,Contreras
contrna01,Nardi,Contreras
conveji01,Jim,Converse
conwabi01,Bill,Conway
conwach01,Charles,Conway
conwadi01,Dick,Conway
conwaja01,Jack,Conway
conwaje01,Jerry,Conway
conwaji01,Jim,Conway
conwaow01,Owen,Conway
conwape01,Pete,Conway
conwari01,Rip,Conway
conweed01,Ed,Conwell
conyehe01,Herb,Conyers
conzejo01,Joe,Conzelman
